Longueur,nombre_lignes
50,23
32,21
5,19
8,17
89,16
33,16
148,16
51,16
58,16
63,16
94,16
67,16
35,15
77,15
120,15
52,15
3,15
149,15
54,15
75,15
65,14
55,14
68,14
4,14
125,13
138,13
122,13
103,13
93,13
87,13
173,13
116,13
74,13
69,12
73,12
100,12
126,12
85,12
72,12
102,12
88,12
15,12
113,12
128,12
91,12
199,12
83,11
40,11
76,11
141,11
78,11
84,11
42,11
22,11
104,11
53,11
124,1
66,1
143,1
151,1
108,1
121,1
194,1
79,1
27,1
169,1
171,1
97,1
168,1
176,1
36,1
49,1
123,1
210,9
130,9
48,9
190,9
110,9
31,9
105,9
96,9
86,9
71,9
152,9
95,9
61,9
137,9
34,9
25,9
98,9
134,9
81,9
17,9
57,9
6,9
118,9
107,9
136,9
37,9
184,8
197,8
29,8
129,8
233,8
271,8
145,8
47,8
119,8
259,8
223,8
155,8
2,8
60,8
46,8
213,8
59,8
163,8
7,8
114,8
41,8
109,8
106,8
70,8
23,8
111,8
62,7
112,7
160,7
170,7
158,7
135,7
147,7
153,7
182,7
292,7
80,7
90,7
144,7
150,7
9,7
99,7
24,7
167,7
185,7
132,7
10,7
43,7
161,6
219,6
207,6
209,6
64,6
82,6
175,6
92,6
20,6
14,6
278,6
45,6
146,6
181,6
159,6
250,6
244,6
241,6
131,6
139,6
162,6
204,6
186,5
268,5
251,5
56,5
285,5
157,5
310,5
127,5
30,5
330,5
117,5
187,5
247,5
101,5
28,5
16,5
164,5
174,5
221,5
21,5
323,5
218,5
165,5
264,5
270,5
245,5
133,5
253,5
205,5
26,5
166,5
243,5
229,4
452,4
275,4
216,4
227,4
286,4
321,4
202,4
154,4
172,4
235,4
493,4
140,4
228,4
142,4
237,4
352,4
316,4
198,4
178,4
252,4
254,4
183,4
257,4
369,4
246,4
18,4
440,4
13,4
232,4
343,3
226,3
306,3
273,3
353,3
280,3
231,3
442,3
482,3
363,3
39,3
214,3
196,3
242,3
348,3
300,3
220,3
206,3
346,3
322,3
379,3
276,3
248,3
282,3
203,3
230,3
546,3
397,3
497,3
188,3
12,3
239,3
381,3
296,3
179,3
295,3
38,3
313,3
496,3
44,3
373,3
283,3
351,3
537,3
365,3
447,3
510,3
225,3
215,3
344,3
234,3
408,3
484,3
249,3
636,3
297,3
291,3
380,3
265,3
208,3
191,3
274,3
460,3
298,3
301,3
527,3
211,3
443,3
217,3
378,2
193,2
446,2
586,2
308,2
335,2
361,2
459,2
412,2
293,2
287,2
303,2
289,2
502,2
678,2
263,2
1293,2
356,2
256,2
333,2
646,2
507,2
267,2
387,2
294,2
463,2
317,2
501,2
578,2
212,2
201,2
238,2
533,2
471,2
635,2
464,2
687,2
156,2
315,2
358,2
1216,2
367,2
425,2
192,2
508,2
421,2
437,2
555,2
262,2
1575,2
314,2
288,2
429,2
312,2
394,2
457,2
411,2
277,2
489,2
389,2
638,2
350,2
305,2
255,2
562,2
331,2
370,2
468,2
470,2
180,2
371,2
444,2
339,2
224,2
302,2
318,2
391,2
474,2
491,2
272,2
319,2
553,2
336,2
341,2
338,2
309,2
385,2
222,2
450,2
648,2
189,2
377,2
360,2
392,1
660,1
383,1
480,1
299,1
11,1
633,1
809,1
657,1
1497,1
349,1
983,1
811,1
721,1
115,1
535,1
469,1
355,1
458,1
576,1
504,1
945,1
3237,1
1723,1
328,1
324,1
236,1
759,1
1771,1
1296,1
419,1
434,1
596,1
621,1
605,1
260,1
671,1
398,1
2459,1
766,1
723,1
673,1
337,1
195,1
3823,1
1211,1
467,1
366,1
455,1
592,1
708,1
2339,1
741,1
2090,1
1622,1
4766,1
2300,1
1290,1
1222,1
1421,1
629,1
422,1
571,1
1136,1
909,1
1236,1
240,1
483,1
1081,1
1206,1
800,1
625,1
426,1
449,1
645,1
1447,1
1610,1
511,1
200,1
697,1
177,1
547,1
448,1
462,1
1798,1
588,1
1747,1
595,1
560,1
1018,1
572,1
1624,1
439,1
774,1
281,1
763,1
382,1
413,1
5178,1
787,1
3093,1
2367,1
5105,1
999,1
1046,1
815,1
584,1
258,1
526,1
1708,1
461,1
713,1
680,1
2613,1
438,1
985,1
284,1
347,1
2402,1
549,1
1481,1
1015,1
761,1
653,1
1009,1
583,1
795,1
409,1
441,1
1260,1
550,1
615,1
967,1
580,1
399,1
404,1
1761,1
1002,1
623,1
1720,1
456,1
472,1
418,1
517,1
492,1
752,1
386,1
410,1
2166,1
863,1
684,1
1184,1
570,1
1878,1
806,1
1104,1
2370,1
5211,1
2938,1
1608,1
390,1
1868,1
944,1
1188,1
1173,1
832,1
2237,1
362,1
541,1
1089,1
320,1
354,1
765,1
525,1
577,1
762,1
423,1
598,1
627,1
327,1
1905,1
928,1
548,1
435,1
1654,1
529,1
481,1
477,1
1315,1
1785,1
388,1
540,1
862,1
593,1
786,1
991,1
325,1
376,1
1041,1
696,1
427,1
269,1
524,1
552,1
542,1
368,1
716,1
652,1
479,1
445,1
544,1
934,1
1171,1
731,1
754,1
988,1
1596,1
672,1
1012,1
2034,1
1343,1
416,1
534,1
925,1
532,1
589,1
401,1
1075,1
490,1
1207,1
561,1
2031,1
2547,1
375,1
556,1
733,1
384,1
767,1
864,1
554,1
1090,1
1308,1
3528,1
1396,1
722,1
669,1
400,1
579,1
405,1
290,1
307,1
796,1
329,1
1085,1
1190,1
